mail,mail,22.465121933
let,know,14.3398128092
energy,energy,9.49481114738
exmerge,items,9.21105670808
exmerge,chris,8.2935656388
enron,corp,7.83725808337
chris,chris,7.04580202831
north,america,6.99483694378
enron,north,6.96368932595
enron,america,6.89377392887
energy,company,6.88870208979
agreement,agreement,6.62084784207
enron,enron,6.53498826645
energy,trading,6.22198326174
enron,services,6.19240039248
download,msn,6.16282443769
make,sure,5.90018248919
items,chris,5.89429380366
enron,houston,5.85725301641
chris,items,5.80884785509
file,file,5.80652646194
next,week,5.64115336971
msn,asp,5.56621564609
houston,texas,5.55887643137
smith,houston,5.5581479124
give,call,5.36140024532
enron,smith,5.33723960747
energy,services,5.26024789413
know,questions,5.22989408229
said,enron,5.20208454036
enron,order,5.19765058589
let,questions,5.14733295651
power,energy,5.14499986668
enron,texas,5.05223930485
north,texas,4.9927717213
smith,texas,4.99266051701
trading,energy,4.97125460313
john,john,4.96578371678
company,energy,4.94526561418
north,smith,4.89099745524
message,intended,4.88863075534
enron,agreement,4.82315019747
importance,high,4.79336830567
america,texas,4.78875927576
america,smith,4.78817958334
enron,company,4.78802926403
america,houston,4.78551299819
north,houston,4.78483637359
exmerge,bill,4.77531421282
bill,items,4.77145213084
enron,wholesale,4.76240132653
services,energy,4.76134647638
msn,msn,4.68682251116
america,corp,4.68164349131
north,corp,4.68106826059
meeting,meeting,4.64312246642
energy,power,4.63374776033
time,time,4.60307397075
mark,enron,4.52284364949
mail,chris,4.50766697594
confidential,information,4.45592819207
scheduled,meeting,4.44733514271
company,company,4.43275590123
wholesale,services,4.35169702766
last,week,4.33512676592
exmerge,john,4.33454751775
order,said,4.32676426255
market,enron,4.27277707837
order,enron,4.24496689275
price,energy,4.19577008048
mail,message,4.18311355575
know,think,4.17782836633
game,game,4.12124639511
confidential,intended,4.11642035444
intended,use,4.1115257809
information,intended,4.10615368799
use,gas,4.10144702717
gas,company,4.09206907733
market,energy,4.07726376613
questions,let,4.06158079202
enron,state,4.0235229404
let,need,4.00915093382
enron,said,4.00834843599
received,error,3.99760728479
wholesale,energy,3.97981915631
price,price,3.97675420206
know,need,3.97665972004
price,state,3.9758335764
call,discuss,3.9688947023
did,did,3.96880583002
